 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     8090708 | 8000001-8500000  |                    104
        3 |     8110270 | 8000001-8500000  |                    103
        3 |     8110270 | 8000001-8500000  |                    103
        3 |     8134400 | 8000001-8500000  |                    103
        3 |     8174205 | 8000001-8500000  |                    102
        3 |     8197710 | 8000001-8500000  |                    102
        3 |     8236407 | 8000001-8500000  |                    101
        3 |     8268217 | 8000001-8500000  |                    101
        3 |     8286678 | 8000001-8500000  |                    101
        3 |     8296477 | 8000001-8500000  |                    100
        3 |     8354225 | 8000001-8500000  |                     99
        3 |     8384319 | 8000001-8500000  |                     99
        3 |     8410038 | 8000001-8500000  |                     98
        3 |     8410038 | 8000001-8500000  |                     98
        3 |     8410038 | 8000001-8500000  |                     98
        3 |     8431740 | 8000001-8500000  |                     98
        3 |     8454218 | 8000001-8500000  |                     98
        3 |     8456352 | 8000001-8500000  |                     98
        3 |     8463925 | 8000001-8500000  |                     97
        3 |     8463925 | 8000001-8500000  |                     97
        3 |     8485261 | 8000001-8500000  |                     97
        3 |     8492453 | 8000001-8500000  |                     97
        3 |     8550263 | 8500001-9000000  |                     96
        3 |     8553636 | 8500001-9000000  |                     96
        3 |     8565557 | 8500001-9000000  |                     95
        3 |     8592896 | 8500001-9000000  |                     95
        3 |     8657643 | 8500001-9000000  |                     94
        3 |     8660715 | 8500001-9000000  |                     94
        3 |     8681078 | 8500001-9000000  |                     93
